date,commit_date,metric_target,juliaversion,makie,glmakie,cairomakie,name,time,allocations,gc_time
2021-10-16T19:44:35.193,2021-10-16T21:22:32.0,v0.15.3,1.6.3,0.15.3,0.4.7,0.6.6,using_cairomakie,11.385945157,996422745,0.558584811
2021-10-16T19:44:35.193,2021-10-16T21:22:32.0,v0.15.3,1.6.3,0.15.3,0.4.7,0.6.6,cairomakie_lineplot,89.401280383,8099780607,3.624660195
2021-10-16T19:44:35.193,2021-10-16T21:22:32.0,v0.15.3,1.6.3,0.15.3,0.4.7,0.6.6,using_glmakie,12.454983154,1040812129,0.839395902
2021-10-16T19:44:35.193,2021-10-16T21:22:32.0,v0.15.3,1.6.3,0.15.3,0.4.7,0.6.6,glmakie_lineplot,131.015113517,11057035941,5.459270704
2022-01-07T16:57:55.759,2022-01-07T16:32:48.0,v0.16.0,1.6.5,0.16,0.5,0.7,using_cairomakie,6.186736335,906796679,0.319111961
2022-01-07T16:57:55.759,2022-01-07T16:32:48.0,v0.16.0,1.6.5,0.16,0.5,0.7,cairomakie_lineplot,53.124520659,7238593122,2.970227008
2022-01-07T16:57:55.759,2022-01-07T16:32:48.0,v0.16.0,1.6.5,0.16,0.5,0.7,using_glmakie,7.872964891,978792783,0.662137717
2022-01-07T16:57:55.759,2022-01-07T16:32:48.0,v0.16.0,1.6.5,0.16,0.5,0.7,glmakie_lineplot,88.980532665,10067405339,3.892016423
2022-01-08T17:58:29.635,2022-01-08T18:39:49.0,v0.16.1,1.6.5,0.16.1,0.5,0.7,using_cairomakie,8.062858638,922427591,0.618542245
2022-01-08T17:58:29.635,2022-01-08T18:39:49.0,v0.16.1,1.6.5,0.16.1,0.5,0.7,cairomakie_lineplot,69.230061851,7211745413,3.05182586
2022-01-08T17:58:29.635,2022-01-08T18:39:49.0,v0.16.1,1.6.5,0.16.1,0.5,0.7,using_glmakie,8.754444204,975555175,0.654002435
2022-01-08T17:58:29.635,2022-01-08T18:39:49.0,v0.16.1,1.6.5,0.16.1,0.5,0.7,glmakie_lineplot,105.98678677,10057642014,3.787213533
2022-01-20T12:16:28.482,2022-01-20T12:58:18.0,v0.16.2,1.6.5,0.16.2,0.5,0.7,using_cairomakie,7.127776277,943561048,0.609077767
2022-01-20T12:16:28.482,2022-01-20T12:58:18.0,v0.16.2,1.6.5,0.16.2,0.5,0.7,cairomakie_lineplot,60.182880501,7238507138,2.416597893
2022-01-20T12:16:28.482,2022-01-20T12:58:18.0,v0.16.2,1.6.5,0.16.2,0.5,0.7,using_glmakie,7.924364696,1001520864,0.619532595
2022-01-20T12:16:28.482,2022-01-20T12:58:18.0,v0.16.2,1.6.5,0.16.2,0.5,0.7,glmakie_lineplot,92.345817075,9974520355,3.449189643
2022-01-28T11:25:19.292,2022-01-28T12:06:36.0,v0.16.3,1.6.5,0.16.3,0.5.2,0.7.2,using_cairomakie,8.077456186,969993552,0.66716927
2022-01-28T11:25:19.292,2022-01-28T12:06:36.0,v0.16.3,1.6.5,0.16.3,0.5.2,0.7.2,cairomakie_lineplot,65.568441943,7298068914,2.728768377
2022-01-28T11:25:19.292,2022-01-28T12:06:36.0,v0.16.3,1.6.5,0.16.3,0.5.2,0.7.2,using_glmakie,9.299673608,1050588384,0.682447155
2022-01-28T11:25:19.292,2022-01-28T12:06:36.0,v0.16.3,1.6.5,0.16.3,0.5.2,0.7.2,glmakie_lineplot,102.23710095,10104672341,3.718602608
2022-02-16T13:15:18.991,2022-02-14T11:20:46.0,julius-test-tag,1.6.5,0.16.3,0.5.2,0.7.2,using_cairomakie,6.384817358,952224032,0.521140496
2022-02-16T13:15:18.991,2022-02-14T11:20:46.0,julius-test-tag,1.6.5,0.16.3,0.5.2,0.7.2,cairomakie_lineplot,52.072437756,7299041223,2.708210941
2022-02-16T13:15:18.991,2022-02-14T11:20:46.0,julius-test-tag,1.6.5,0.16.3,0.5.2,0.7.2,using_glmakie,7.744189705,1087632176,0.663667302
2022-02-16T13:15:18.991,2022-02-14T11:20:46.0,julius-test-tag,1.6.5,0.16.3,0.5.2,0.7.2,glmakie_lineplot,78.875951811,9575676311,3.606139564
2022-02-16T14:46:47.764,2022-02-16T15:17:03.0,v0.16.4,1.6.5,0.16.4,0.5.3,0.7.3,using_cairomakie,7.509557365,986679432,0.666193714
2022-02-16T14:46:47.764,2022-02-16T15:17:03.0,v0.16.4,1.6.5,0.16.4,0.5.3,0.7.3,cairomakie_lineplot,59.510647108,7320413786,3.043140874
2022-02-16T14:46:47.764,2022-02-16T15:17:03.0,v0.16.4,1.6.5,0.16.4,0.5.3,0.7.3,using_glmakie,9.086711658,1112795576,0.730914338
2022-02-16T14:46:47.764,2022-02-16T15:17:03.0,v0.16.4,1.6.5,0.16.4,0.5.3,0.7.3,glmakie_lineplot,88.906306516,9654498602,3.740473026
2022-02-22T16:38:49.264,2022-02-22T17:11:48.0,v0.16.5,1.6.5,0.16.5,0.5.4,0.7.4,using_cairomakie,6.690289322,985982424,0.57703663
2022-02-22T16:38:49.264,2022-02-22T17:11:48.0,v0.16.5,1.6.5,0.16.5,0.5.4,0.7.4,cairomakie_lineplot,56.61753353,7298901726,2.649452707
2022-02-22T16:38:49.264,2022-02-22T17:11:48.0,v0.16.5,1.6.5,0.16.5,0.5.4,0.7.4,using_glmakie,9.093570062,1133681408,0.796493784
2022-02-22T16:38:49.264,2022-02-22T17:11:48.0,v0.16.5,1.6.5,0.16.5,0.5.4,0.7.4,glmakie_lineplot,87.181029394,9625091853,3.230354508
2022-03-15T23:37:23.634,2022-03-15T16:52:25.0,v0.16.6,1.6.5,0.16.6,0.5.5,0.7.5,using_cairomakie,6.932150763,971757350,0.376914288
2022-03-15T23:37:23.634,2022-03-15T16:52:25.0,v0.16.6,1.6.5,0.16.6,0.5.5,0.7.5,cairomakie_lineplot,58.764827363,7577851676,3.160201138
2022-03-15T23:37:23.634,2022-03-15T16:52:25.0,v0.16.6,1.6.5,0.16.6,0.5.5,0.7.5,using_glmakie,8.834152283,1118022878,0.719760942
2022-03-15T23:37:23.634,2022-03-15T16:52:25.0,v0.16.6,1.6.5,0.16.6,0.5.5,0.7.5,glmakie_lineplot,89.327665283,10191472328,3.971425061
2022-05-05T22:33:08.631,2022-05-05T23:13:36.0,v0.17.0,1.7.2,0.17.0,0.6,0.8,using_cairomakie,12.382074893,1143600171,0.71835212
2022-05-05T22:33:08.631,2022-05-05T23:13:36.0,v0.17.0,1.7.2,0.17.0,0.6,0.8,cairomakie_lineplot,58.579393243,4970314880,2.106451392
2022-05-05T22:33:08.631,2022-05-05T23:13:36.0,v0.17.0,1.7.2,0.17.0,0.6,0.8,using_glmakie,13.300240206,1187884276,1.258225005
2022-05-05T22:33:08.631,2022-05-05T23:13:36.0,v0.17.0,1.7.2,0.17.0,0.6,0.8,glmakie_lineplot,106.135089629,8234939868,3.294861173
2022-05-13T08:45:11.293,2022-05-13T10:10:06.0,v0.17.1,1.7.2,0.17.1,0.6.1,0.8.1,using_cairomakie,9.534894371,1157209571,0.752489073
2022-05-13T08:45:11.293,2022-05-13T10:10:06.0,v0.17.1,1.7.2,0.17.1,0.6.1,0.8.1,cairomakie_lineplot,42.753688807,5070734220,1.432756532
2022-05-13T08:45:11.293,2022-05-13T10:10:06.0,v0.17.1,1.7.2,0.17.1,0.6.1,0.8.1,using_glmakie,10.052267157,1189870276,0.889394593
2022-05-13T08:45:11.293,2022-05-13T10:10:06.0,v0.17.1,1.7.2,0.17.1,0.6.1,0.8.1,glmakie_lineplot,78.834326307,8339134130,2.771720172
2022-05-16T14:27:09.086,2022-05-16T15:57:39.0,v0.17.2,1.7.2,0.17.2,0.6.2,0.8.2,using_cairomakie,9.869171666,1122394539,0.768206458
2022-05-16T14:27:09.086,2022-05-16T15:57:39.0,v0.17.2,1.7.2,0.17.2,0.6.2,0.8.2,cairomakie_lineplot,46.181570906,4954654039,1.543979416
2022-05-16T14:27:09.086,2022-05-16T15:57:39.0,v0.17.2,1.7.2,0.17.2,0.6.2,0.8.2,using_glmakie,10.725484271,1160254996,0.973925139
2022-05-16T14:27:09.086,2022-05-16T15:57:39.0,v0.17.2,1.7.2,0.17.2,0.6.2,0.8.2,glmakie_lineplot,84.358651756,8181084947,2.739113221
2022-05-20T16:56:41.185,2022-05-20T18:35:51.0,v0.17.3,1.7.2,0.17.3,0.6.3,0.8.3,using_cairomakie,8.566476137,1141505155,0.646531207
2022-05-20T16:56:41.185,2022-05-20T18:35:51.0,v0.17.3,1.7.2,0.17.3,0.6.3,0.8.3,cairomakie_lineplot,40.015599026,5026395588,1.258307134
2022-05-20T16:56:41.185,2022-05-20T18:35:51.0,v0.17.3,1.7.2,0.17.3,0.6.3,0.8.3,using_glmakie,8.846025854,1176962316,0.644154412
2022-05-20T16:56:41.185,2022-05-20T18:35:51.0,v0.17.3,1.7.2,0.17.3,0.6.3,0.8.3,glmakie_lineplot,70.853115169,8158566043,2.15861108
2022-05-30T12:07:24.425,2022-05-30T13:41:23.0,v0.17.3+docs1,1.7.3,0.17.3,0.6.3,0.8.3,using_cairomakie,8.779994166,1123794283,0.8395166
2022-05-30T12:07:24.425,2022-05-30T13:41:23.0,v0.17.3+docs1,1.7.3,0.17.3,0.6.3,0.8.3,cairomakie_lineplot,39.777516074,5063665219,1.279380928
2022-05-30T12:07:24.425,2022-05-30T13:41:23.0,v0.17.3+docs1,1.7.3,0.17.3,0.6.3,0.8.3,using_glmakie,9.351666015,1174050700,0.861033198
2022-05-30T12:07:24.425,2022-05-30T13:41:23.0,v0.17.3+docs1,1.7.3,0.17.3,0.6.3,0.8.3,glmakie_lineplot,70.902241946,8210226453,2.472063824
2022-06-09T18:54:09.866,2022-06-09T20:27:03.0,v0.17.4,1.7.3,0.17.4,0.6.4,0.8.4,using_cairomakie,11.154869499,1109648123,0.982144078
2022-06-09T18:54:09.866,2022-06-09T20:27:03.0,v0.17.4,1.7.3,0.17.4,0.6.4,0.8.4,cairomakie_lineplot,51.639009493,4948635073,1.526525803
2022-06-09T18:54:09.866,2022-06-09T20:27:03.0,v0.17.4,1.7.3,0.17.4,0.6.4,0.8.4,using_glmakie,13.641396183,1310820980,1.054071595
2022-06-09T18:54:09.866,2022-06-09T20:27:03.0,v0.17.4,1.7.3,0.17.4,0.6.4,0.8.4,glmakie_lineplot,86.612686175,7702524112,2.999250429
